Unnamed: 0,Income,Lot_Size,Ownership
4.0,61.5,20.8,owner
23.0,51.0,14.0,non-owner
4.1,61.5,20.8,owner
24.0,63.0,14.8,non-owner
6.0,110.1,19.2,owner
5.0,87.0,23.6,owner
2.0,85.5,16.8,owner
16.0,43.2,20.4,non-owner
1.0,60.0,18.4,owner
21.0,47.4,16.4,non-owner
24.1,63.0,14.8,non-owner
4.2,61.5,20.8,owner
17.0,84.0,17.6,non-owner
7.0,108.0,17.6,owner
6.1,110.1,19.2,owner
6.2,110.1,19.2,owner
11.0,51.0,22.0,owner
14.0,52.8,20.8,non-owner
18.0,49.2,17.6,non-owner
13.0,75.0,19.6,non-owner
16.1,43.2,20.4,non-owner
16.2,43.2,20.4,non-owner
2.1,85.5,16.8,owner
4.3,61.5,20.8,owner
15.0,64.8,17.2,non-owner
22.0,33.0,18.8,non-owner
6.3,110.1,19.2,owner
10.0,93.0,20.8,owner
15.1,64.8,17.2,non-owner
13.1,75.0,19.6,non-owner
18.1,49.2,17.6,non-owner
6.4,110.1,19.2,owner
18.2,49.2,17.6,non-owner
4.4,61.5,20.8,owner
16.3,43.2,20.4,non-owner
17.1,84.0,17.6,non-owner
8.0,82.8,22.4,owner
5.1,87.0,23.6,owner
7.1,108.0,17.6,owner
12.0,81.0,20.0,owner
4.5,61.5,20.8,owner
7.2,108.0,17.6,owner
13.2,75.0,19.6,non-owner
16.4,43.2,20.4,non-owner
20.0,66.0,18.4,non-owner
1.1,60.0,18.4,owner
7.3,108.0,17.6,owner
17.2,84.0,17.6,non-owner
23.1,51.0,14.0,non-owner
2.2,85.5,16.8,owner
24.2,63.0,14.8,non-owner
9.0,69.0,20.0,owner
11.1,51.0,22.0,owner
17.3,84.0,17.6,non-owner
4.6,61.5,20.8,owner
13.3,75.0,19.6,non-owner
5.2,87.0,23.6,owner
17.4,84.0,17.6,non-owner
3.0,64.8,21.6,owner
10.1,93.0,20.8,owner
8.1,82.8,22.4,owner
2.3,85.5,16.8,owner
10.2,93.0,20.8,owner
22.1,33.0,18.8,non-owner
22.2,33.0,18.8,non-owner
22.3,33.0,18.8,non-owner
20.1,66.0,18.4,non-owner
23.2,51.0,14.0,non-owner
15.2,64.8,17.2,non-owner
4.7,61.5,20.8,owner
